"Artikelnummer";"Artikelname";"Interner Schlüssel";"GTIN";"HAN";"Eigene ID";"Kategorie Ebene 1";"Kategorie Ebene 2";"Kategorie Ebene 3";"Kategorie Ebene 4";"Kategorie Ebene 5";"Kategorie Ebene 6";"Kategorie Ebene 7";"Kategorie Ebene 8";"Kategorie Ebene 9";"Kategorie Ebene 10";"URL-Pfad";"Beschreibung";"Title-Tag";"Meta-Description";"Meta-Keywords";
"600380";"Maggi 5 Minuten Terrine Nudeln in Rahmsoße";"306";;;;"06 Essen";"6.3 Fertigessen";;;;;;;;;;;;;;
"600370";"Maggi 5 Minuten Terrine Hühnertopf";"305";;;;"06 Essen";"6.3 Fertigessen";;;;;;;;;;;;;;
"600360";"Maggi 5 Minuten Terrine Spagetti Bolognese";"304";;;;"06 Essen";"6.3 Fertigessen";;;;;;;;;;;;;;
"600350";"Maggi 5 Minuten Terrine Gulaschtopf";"303";;;;"06 Essen";"6.3 Fertigessen";;;;;;;;;;;;;;
"5";"ja! Cashewkerne geröstet & gesalzen 150g";"302";;;;"02 Snacks";"2.2 Snacks Salzig";;;;;;;;;;;;;;
"202040";"REWE Bio Ayran 250ml";"301";;;;"01 Getränke";"1.2 Kaffee & Milchprodukte";;;;;;;;;;;;;;
"102030";"Andechser Natur Bio Kefir 500g";"300";;;;"01 Getränke";"1.2 Kaffee & Milchprodukte";;;;;;;;;;;;;;
"206630";"Kinder Schoko Bon 1 Stk";"293";;;;"02 Snacks";"2.1 Snacks Süß";;;;;;;;;;;;;;
"206620";"REWE Bio Apfelchips 70g";"292";;;;"02 Snacks";"2.1 Snacks Süß";;;;;;;;;;;;;;
"601650";"REWE Bio Quetschie Apfel-Banane-Kirsche 90g";"291";;;;"06 Essen";"6.3 Fertigessen";;;;;;;;;;;;;;
"601600";"REWE Bio Quetschie Apfel-Erdbeer-Heidelbeere 90g";"290";;;;"06 Essen";"6.3 Fertigessen";;;;;;;;;;;;;;
"102020";"Tasse Espresso heiß / Espresso";"289";;;;"01 Getränke";"1.2 Kaffee & Milchprodukte";;;;;;;;;;;;;;
"102010";"Tasse Kaffee heiß / Cafe Crema";"288";;;;"01 Getränke";"1.2 Kaffee & Milchprodukte";;;;;;;;;;;;;;
"300610";"Taschentücherbox";"287";;;;"03 Hygiene";;;;;;;;;;;;;;;
"100520";"Adelholzener Johannisbeere 0,5l";"286";;;;"01 Getränke";"1.1 Softdrinks";;;;;;;;;;;;;;
"206612";"Kinder Happy Hippo 1 Stk";"285";;;;"02 Snacks";"2.1 Snacks Süß";;;;;;;;;;;;;;
"206605";"Em-Eukal verschied. Sorten";"284";;;;"02 Snacks";"2.1 Snacks Süß";;;;;;;;;;;;;;
"605100";"Laugenstange / Tomaten Mozzarella Pesto";"283";;;;"06 Essen";"6.2 Backwaren";;;;;;;;;;;;;;
"100510";"Paulaner Spezi ZERO 0,5l Glas";"282";;;;"01 Getränke";"1.1 Softdrinks";;;;;;;;;;;;;;
"101940";"Sprite 0,5l";"281";;;;"01 Getränke";"1.1 Softdrinks";;;;;;;;;;;;;;
"101930";"Fanta 0,5l";"280";;;;"01 Getränke";"1.1 Softdrinks";;;;;;;;;;;;;;
"101920";"Coca Cola Zero 0,5l";"279";;;;"01 Getränke";"1.1 Softdrinks";;;;;;;;;;;;;;
"101910";"Coca Cola Classic 0,5l";"278";;;;"01 Getränke";"1.1 Softdrinks";;;;;;;;;;;;;;
"603225";"Zutat - Weltmeisterbrötchen";"276";;;;"06 Essen";"6.1 Zutaten";;;;;;;;;;;;;;
"208620";"Kinder Joy";"275";;;;"02 Snacks";"2.1 Snacks Süß";;;;;;;;;;;;;;
"701600";"EIS Yogurette Buttermilch Joghurt & Lemon";"274";;;;"07 Eis";;;;;;;;;;;;;;;
"701500";"EIS Tropical Pirulo";"273";;;;"07 Eis";;;;;;;;;;;;;;;
"701400";"EIS Nogger";"272";;;;"07 Eis";;;;;;;;;;;;;;;
"700110";"EIS Cornetto Erdbeere";"271";;;;"07 Eis";;;;;;;;;;;;;;;
"605000";"Laugenstange / Schinken Käse";"269";;;;"06 Essen";"6.2 Backwaren";;;;;;;;;;;;;;
"204560";"kinder Schokolade 4er";"268";;;;"02 Snacks";"2.1 Snacks Süß";;;;;;;;;;;;;;
"204550";"Yogurette 4er";"267";;;;"02 Snacks";"2.1 Snacks Süß";;;;;;;;;;;;;;
"201010";"Studentenfutter Groß 200g";"266";;;;"02 Snacks";"2.2 Snacks Salzig";;;;;;;;;;;;;;
"206210";"BiFi Classic versch. Sorten";"265";;;;"02 Snacks";"2.2 Snacks Salzig";;;;;;;;;;;;;;
"603220";"Zutat - Schinkenwurst";"263";;;;"06 Essen";"6.1 Zutaten";;;;;;;;;;;;;;
